cod_semestre;cod_facultad;cod_escuela;cod_plan;cod_asignatura;cod_alumno;val_calific_final
20191;20;1;2009;208009;9200111;15
20191;20;1;2009;208009;10200078;15
20191;20;1;2009;208009;13200191;15
20191;20;1;2009;208009;13200202;14
20191;20;1;2009;208009;13200204;13
20191;20;1;2009;208009;11200200;15
20191;20;1;2009;208009;10200085;14
20191;20;1;2009;208009;10200090;15
20191;20;1;2009;208009;10200116;13
20191;20;1;2009;208009;13200206;13
20191;20;1;2009;208009;11200061;14
20191;20;1;2009;208009;10200118;14
20191;20;1;2009;208009;10200122;14
20191;20;1;2009;208009;10200126;13
20191;20;1;2009;208009;12200145;16
20191;20;1;2009;208009;12200148;15
20191;20;1;2009;208009;13200091;15
20191;20;1;2009;208009;13200014;15
20191;20;1;2009;208009;10200192;13
20191;20;1;2009;208009;10200225;15
20191;20;1;2009;208009;12200079;9
20191;20;1;2009;208009;9200027;13
20191;20;1;2009;208009;13200100;12
20191;20;1;2009;208009;9200180;12
20191;20;1;2009;208009;11200083;15
20191;20;1;2009;208009;11200109;14
20191;20;1;2009;208009;11200116;13
20191;20;1;2009;208009;10200072;14
20191;20;1;2009;208009;11200225;13
20191;20;1;2009;208009;9200010;14
20191;20;1;2009;208010;9200078;13
20191;20;1;2009;208010;9200109;13
20191;20;1;2009;208010;9200111;12
20191;20;1;2009;208010;13200187;12
20191;20;1;2009;208010;11200200;14
20191;20;1;2009;208010;12200148;0
20191;20;1;2009;208010;13200087;3
20191;20;1;2009;208010;13200088;11
20191;20;1;2009;208010;13200091;11
20191;20;1;2009;208010;13200149;11
20191;20;1;2009;208010;10200192;13
20191;20;1;2009;208010;12200079;0
20191;20;1;2009;208010;9200027;11
20191;20;1;2009;208010;9200180;13
20191;20;1;2009;208010;11200083;12
20191;20;1;2009;208010;11200225;12
20191;20;1;2009;208010;13200158;11
20191;20;1;2009;208010;13200159;12
20191;20;1;2009;208010;9200001;12
20191;20;1;2009;209001M ;13200179;14
20191;20;1;2009;209001M ;13200185;16
20191;20;1;2009;209001M ;13200204;16
20191;20;1;2009;209001M ;10200090;19
20191;20;1;2009;209001M ;10200116;15
20191;20;1;2009;209001M ;12200135;18
20191;20;1;2009;209001M ;13200149;12
20191;20;1;2009;209001M ;9200047;15
20191;20;1;2009;209001M ;13200098;15
20191;20;1;2009;209001M ;11200116;16
20191;20;1;2009;209001M ;10200072;17
20191;20;1;2009;209001M ;11200225;18
20191;20;1;2009;209001M ;13200158;15
20191;20;1;2009;209003;13200179;14
20191;20;1;2009;209003;13200185;14
20191;20;1;2009;209003;13200204;14
