cod_escuela,cod_plan,cod_asignatura,nombre_Curso,val_calific_final
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,13
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,16
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,16
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,13
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,12
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,13
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,11
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,15
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,15
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,14
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,14
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,15
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,8
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,15
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,17
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,4
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,15
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,14
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,15
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,13
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,14
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,14
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,14
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,15
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,2
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,17
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,17
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,17
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,18
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,17
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,15
2,2018,202W0502,ARQUITECTURA DE COMPUTADORAS,16
